NAICS,TOT_EMP,EMP_PRSE,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
11,369310,0.9,22470,0.7,15530,17570,24990,193.6,107.9,5.1,1178.28,2005
11,379690,1.1,22960,0.7,15500,17860,25540,201.3,117.2,4.6,1290.01,2006
11,385730,0.7,23630,0.6,16050,18410,25970,206.755,118.6,4.4,1511.14,2007
11,388590,0.8,24530,0.6,16840,19230,26640,215.208,141.2,5.4,1403.22,2008
11,381900,0.7,24930,0.6,17700,19440,26880,213.022,116.8,9.4,902.41,2009
11,368400,0.8,25530,0.7,18010,19510,27820,217.29,126.7,9.6,1125.06,2010
11,371180,0.7,25680,0.7,18090,19460,27870,224.806,143.1,9.0,1338.31,2011
11,393840,1.2,25950,0.8,18170,19550,28120,228.713,142.0,8.2,1341.27,2012
11,404040,0.9,26200,0.8,18230,19610,28430,231.893,139.4,7.5,1639.84,2013
11,409720,1.0,26920,0.8,18410,20180,29480,236.918,140.1,6.3,1889.77,2014
11,412150,1.1,28280,0.8,19370,21890,30880,237.001,126.5,5.6,2111.94,2015
11,416600,1.2,29800,0.7,20820,23630,32040,239.557,119.9,4.8,2065.55,2016
11,424020,1.1,30960,0.7,21980,24480,33530,244.004,122.7,4.4,2395.35,2017
11,427090,1.2,32300,0.7,23200,25500,34970,250.792,128.2,3.8,2701.49,2018
11,430720,1.0,33510,0.7,24360,27410,36080,255.296,127.0,3.6,2854.71,2019
11,429940,1.0,35890,0.7,27080,30020,37390,255.848,119.0,13.2,2919.62,2020
11,414190,0.0,37210,0.6,29230,30010,37620,268.452,132.8,5.8,4167.85,2021
11,422650,0.0,40220,0.9,31200,34020,41080,291.359,148.2,3.6,4040.36,2022
11,413580,0.0,43010,0.6,33350,35640,44970,303.365,139.7,3.7,4146.17,2023
21,539960,0.9,45210,1.1,27370,37540,53250,193.6,107.9,5.1,1178.28,2005
21,590510,0.9,46310,0.9,28120,38500,54680,201.3,117.2,4.6,1290.01,2006
21,644070,0.9,48190,1.0,29390,39940,56280,206.755,118.6,4.4,1511.14,2007
21,685650,0.8,50380,0.8,30710,41790,58170,215.208,141.2,5.4,1403.22,2008
21,683880,0.9,52840,0.9,31930,43590,60910,213.022,116.8,9.4,902.41,2009
21,625580,0.9,55910,1.0,32810,45200,64600,217.29,126.7,9.6,1125.06,2010
21,693400,0.9,57840,1.1,33610,46100,66180,224.806,143.1,9.0,1338.31,2011
21,783110,1.0,60790,1.4,34420,47580,69310,228.713,142.0,8.2,1341.27,2012
21,807130,0.8,61690,1.2,34980,47990,70290,231.893,139.4,7.5,1639.84,2013
21,824260,0.7,62360,1.1,35510,49000,72150,236.918,140.1,6.3,1889.77,2014
21,811320,0.6,63310,0.9,36050,49570,73360,237.001,126.5,5.6,2111.94,2015
21,649130,0.8,65900,0.9,37330,52270,76900,239.557,119.9,4.8,2065.55,2016
21,591130,0.9,64370,0.8,37480,51670,75000,244.004,122.7,4.4,2395.35,2017
21,651870,0.8,64710,0.8,38090,52090,75230,250.792,128.2,3.8,2701.49,2018
21,684390,0.9,65860,0.9,39160,52920,76450,255.296,127.0,3.6,2854.71,2019
21,578890,0.8,67630,0.8,40480,54940,79230,255.848,119.0,13.2,2919.62,2020
21,491710,0.0,71540,0.6,45740,59930,79800,268.452,132.8,5.8,4167.85,2021
21,527450,0.0,73090,0.8,45680,59270,82890,291.359,148.2,3.6,4040.36,2022
21,571160,0.0,77020,0.6,47530,61800,87830,303.365,139.7,3.7,4146.17,2023
