,OCC_CODE,TOT_EMP,EMP_PRSE,PCT_TOTAL,A_MEAN,MEAN_PRSE,A_PCT25,A_MEDIAN,A_PCT75,CPI,PRICE_INDEX,UNEMPLOYMENT_RATE,SP_INDEX,YEAR
0,00-0000,427090,1.2,100.0,32300,0.7,23200,25500,34970,250.792,128.2,3.8,2701.49,2018
1,11-0000,8200,4.5,1.92,99790,2.3,55930,83440,125740,250.792,128.2,3.8,2701.49,2018
2,11-1000,4250,5.0,0.99,103440,3.5,53210,83380,128600,250.792,128.2,3.8,2701.49,2018
3,11-1010,180,16.0,0.04,199180,7.4,114290,181760,239200,250.792,128.2,3.8,2701.49,2018
4,11-1011,180,16.0,0.04,199180,7.4,114290,181760,239200,250.792,128.2,3.8,2701.49,2018
5,11-1020,4070,5.2,0.95,99230,3.7,52200,80790,123800,250.792,128.2,3.8,2701.49,2018
6,11-1021,4070,5.2,0.95,99230,3.7,52200,80790,123800,250.792,128.2,3.8,2701.49,2018
7,11-2000,330,24.2,0.08,130590,4.4,88070,125840,158690,250.792,128.2,3.8,2701.49,2018
8,11-2020,310,25.1,0.07,131650,4.8,90120,127170,159500,250.792,128.2,3.8,2701.49,2018
10,11-2022,220,22.7,0.05,124850,6.1,81210,114580,155890,250.792,128.2,3.8,2701.49,2018
11,11-3000,1020,8.0,0.24,106560,3.7,71560,95000,126870,250.792,128.2,3.8,2701.49,2018
12,11-3010,120,11.8,0.03,94450,4.7,69830,90260,118800,250.792,128.2,3.8,2701.49,2018
13,11-3011,120,11.8,0.03,94450,4.7,69830,90260,118800,250.792,128.2,3.8,2701.49,2018
14,11-3020,60,17.8,0.01,143180,5.9,106860,130330,180810,250.792,128.2,3.8,2701.49,2018
15,11-3021,60,17.8,0.01,143180,5.9,106860,130330,180810,250.792,128.2,3.8,2701.49,2018
16,11-3030,240,9.8,0.06,132130,6.5,86380,115820,155890,250.792,128.2,3.8,2701.49,2018
17,11-3031,240,9.8,0.06,132130,6.5,86380,115820,155890,250.792,128.2,3.8,2701.49,2018
18,11-3050,360,13.0,0.08,100130,6.3,70320,88570,115500,250.792,128.2,3.8,2701.49,2018
19,11-3051,360,13.0,0.08,100130,6.3,70320,88570,115500,250.792,128.2,3.8,2701.49,2018
20,11-3070,170,25.7,0.04,80070,6.4,54410,73830,102060,250.792,128.2,3.8,2701.49,2018
21,11-3071,170,25.7,0.04,80070,6.4,54410,73830,102060,250.792,128.2,3.8,2701.49,2018
22,11-3120,50,21.0,0.01,102790,7.1,69630,89020,124310,250.792,128.2,3.8,2701.49,2018
